Event,MeanCGSubmissionTime(ms),MeanKernelExecTime(ms),MeanTotalExecTime(ms),VecSize,GPU
Simple Add,0.002131,0.007774,0.020259,1024,GeForce
Simple Add,0.002094,0.008783,0.0213219,2048,GeForce
Simple Add,0.002126,0.010762,0.023287,4096,GeForce
Simple Add,0.002142,0.015291,0.0322067,8192,GeForce
Simple Add,0.002203,0.016364,0.0335664,16384,GeForce
Simple Add,0.002096,0.019603,0.035607,32768,GeForce
Simple Add,0.002119,0.025447,0.0406319,65536,GeForce
Simple Add,0.002171,0.032577,0.0478955,131072,GeForce
Simple Add,0.002234,0.047159,0.0603039,262144,GeForce
Simple Add,0.00213,0.082192,0.095344,524288,GeForce
Simple Add,0.002283,0.149321,0.162734,1048576,GeForce
Simple Add,0.002135,0.270058,0.284078,2097152,GeForce
Simple Add,0.00233,0.547752,0.562169,4194304,GeForce
Simple Add,0.002139,0.944925,0.960171,8388608,GeForce
Simple Add,0.00219,1.68079,1.69531,16777216,GeForce
Simple Add,0.002174,2.89386,2.90797,33554432,GeForce
Simple Add,0.002266,5.35389,5.36988,67108864,GeForce
Simple Add,0.002026,10.2151,10.2295,134217728,GeForce
Simple Add,0.002148,20.0225,20.0409,268435456,GeForce
Simple Add,0.002115,39.6957,39.714,536870912,GeForce
Simple Add,0.003345,0.009659,0.0283762,1024,A100
Simple Add,0.003345,0.011058,0.0289411,2048,A100
Simple Add,0.003344,0.015429,0.0334577,4096,A100
Simple Add,0.004027,0.019558,0.0403446,8192,A100
Simple Add,0.003583,0.019524,0.0396153,16384,A100
Simple Add,0.003754,0.024507,0.0434162,32768,A100
Simple Add,0.003413,0.033689,0.049066,65536,A100
Simple Add,0.003413,0.048981,0.0649504,131072,A100
Simple Add,0.003413,0.070144,0.0858156,262144,A100
Simple Add,0.003277,0.102331,0.119189,524288,A100
Simple Add,0.003515,0.212275,0.238628,1048576,A100
Simple Add,0.003651,0.446464,0.463875,2097152,A100
Simple Add,0.003551,0.734412,0.789386,4194304,A100
Simple Add,0.003854,1.2316,1.25071,8388608,A100
Simple Add,0.003547,2.49781,2.51829,16777216,A100
Simple Add,0.003556,4.35292,4.3721,33554432,A100
Simple Add,0.003454,8.66489,8.68514,67108864,A100
Simple Add,0.003605,17.4779,17.5003,134217728,A100
Simple Add,0.003645,33.0035,33.0272,268435456,A100
Simple Add,0.004394,64.4409,64.4722,536870912,A100
